sku_id,period_start,actual_units,segment,record_type,period_months,forecast_units,absolute_error,reliability_tier,planning_action,review_cadence,inventory_treatment,owner,block_number,champion_source,individual_rolling_3m_wmape_percent,category_wmape_percent,overall_wmape_percent,selected_model_key,last_actual_month,forecast_start,gap_months
0914806007000,2026-11-01,,occasional,future_forecast,3,0.3929305672645569,,manual_review_with_forecast,manual_approval_before_replenishment,each_planning_cycle,use_forecast_as_guidance_only,planner_and_parts_team,3.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0914806007000,2027-02-01,,occasional,future_forecast,3,0.34027913212776184,,manual_review_with_forecast,manual_approval_before_replenishment,each_planning_cycle,use_forecast_as_guidance_only,planner_and_parts_team,4.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0914806007000,2027-05-01,,occasional,future_forecast,3,0.48562169075012207,,manual_review_with_forecast,manual_approval_before_replenishment,each_planning_cycle,use_forecast_as_guidance_only,planner_and_parts_team,5.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0914806007000,2027-08-01,,occasional,future_forecast,3,0.32120394706726074,,manual_review_with_forecast,manual_approval_before_replenishment,each_planning_cycle,use_forecast_as_guidance_only,planner_and_parts_team,6.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
09148M06022000,2026-05-01,,occasional,future_forecast,3,0.5,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,1.0,,,,,block_recent6,2026-04-01,2026-05-01,0.0
09148M06022000,2026-08-01,,occasional,future_forecast,3,0.5,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,2.0,,,,,block_recent6,2026-04-01,2026-05-01,0.0
09148M06022000,2026-11-01,,occasional,future_forecast,3,0.5,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,3.0,,,,,block_recent6,2026-04-01,2026-05-01,0.0
09148M06022000,2027-02-01,,occasional,future_forecast,3,0.5,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,4.0,,,,,block_recent6,2026-04-01,2026-05-01,0.0
09148M06022000,2027-05-01,,occasional,future_forecast,3,0.5,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,5.0,,,,,block_recent6,2026-04-01,2026-05-01,0.0
09148M06022000,2027-08-01,,occasional,future_forecast,3,0.5,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,6.0,,,,,block_recent6,2026-04-01,2026-05-01,0.0
0915912024000,2026-05-01,,dormant,future_forecast,3,0.0,,manual_lifecycle_review,lifecycle_and_reactivation_review,quarterly_or_triggered,supersession_and_obsolescence_policy,parts_lifecycle_owner,1.0,,,,,block_recent6,2026-04-01,2026-05-01,0.0
0915912024000,2026-08-01,,dormant,future_forecast,3,0.0,,manual_lifecycle_review,lifecycle_and_reactivation_review,quarterly_or_triggered,supersession_and_obsolescence_policy,parts_lifecycle_owner,2.0,,,,,block_recent6,2026-04-01,2026-05-01,0.0
0915912024000,2026-11-01,,dormant,future_forecast,3,0.0,,manual_lifecycle_review,lifecycle_and_reactivation_review,quarterly_or_triggered,supersession_and_obsolescence_policy,parts_lifecycle_owner,3.0,,,,,block_recent6,2026-04-01,2026-05-01,0.0
0915912024000,2027-02-01,,dormant,future_forecast,3,0.0,,manual_lifecycle_review,lifecycle_and_reactivation_review,quarterly_or_triggered,supersession_and_obsolescence_policy,parts_lifecycle_owner,4.0,,,,,block_recent6,2026-04-01,2026-05-01,0.0
0915912024000,2027-05-01,,dormant,future_forecast,3,0.0,,manual_lifecycle_review,lifecycle_and_reactivation_review,quarterly_or_triggered,supersession_and_obsolescence_policy,parts_lifecycle_owner,5.0,,,,,block_recent6,2026-04-01,2026-05-01,0.0
0915912024000,2027-08-01,,dormant,future_forecast,3,0.0,,manual_lifecycle_review,lifecycle_and_reactivation_review,quarterly_or_triggered,supersession_and_obsolescence_policy,parts_lifecycle_owner,6.0,,,,,block_recent6,2026-04-01,2026-05-01,0.0
0915912051000,2026-05-01,,cold_start,future_forecast,3,0.33146554231643677,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,1.0,,,,,block_hurdle_d2_full_log,2026-04-01,2026-05-01,0.0
0915912051000,2026-08-01,,cold_start,future_forecast,3,0.23723869025707245,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,2.0,,,,,block_hurdle_d2_full_log,2026-04-01,2026-05-01,0.0
0915912051000,2026-11-01,,cold_start,future_forecast,3,0.22825688123703003,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,3.0,,,,,block_hurdle_d2_full_log,2026-04-01,2026-05-01,0.0
0915912051000,2027-02-01,,cold_start,future_forecast,3,0.21726900339126587,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,4.0,,,,,block_hurdle_d2_full_log,2026-04-01,2026-05-01,0.0
0915912051000,2027-05-01,,cold_start,future_forecast,3,0.22449153661727905,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,5.0,,,,,block_hurdle_d2_full_log,2026-04-01,2026-05-01,0.0
0915912051000,2027-08-01,,cold_start,future_forecast,3,0.18318529427051544,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,6.0,,,,,block_hurdle_d2_full_log,2026-04-01,2026-05-01,0.0
0915912079000,2026-05-01,,rare,future_forecast,3,1.7884825468063354,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,1.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0915912079000,2026-08-01,,rare,future_forecast,3,0.922783374786377,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,2.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0915912079000,2026-11-01,,rare,future_forecast,3,0.8678720593452454,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,3.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0915912079000,2027-02-01,,rare,future_forecast,3,1.0717397928237915,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,4.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0915912079000,2027-05-01,,rare,future_forecast,3,1.633215308189392,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,5.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0915912079000,2027-08-01,,rare,future_forecast,3,0.8010644316673279,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,6.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0915912L02000,2026-05-01,,rare,future_forecast,3,0.7299392223358154,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,1.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0915912L02000,2026-08-01,,rare,future_forecast,3,0.46060582995414734,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,2.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0915912L02000,2026-11-01,,rare,future_forecast,3,0.4399443566799164,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,3.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0915912L02000,2027-02-01,,rare,future_forecast,3,0.47863978147506714,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,4.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0915912L02000,2027-05-01,,rare,future_forecast,3,0.6558712124824524,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,5.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0915912L02000,2027-08-01,,rare,future_forecast,3,0.40745893120765686,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,6.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0915918022000,2026-05-01,,recurring,future_forecast,3,2.604259490966797,,forecast_plus_review,forecast_with_planner_review,monthly,review_safety_stock_and_lead_time,demand_planning,1.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0915918022000,2026-08-01,,recurring,future_forecast,3,2.6919667720794678,,forecast_plus_review,forecast_with_planner_review,monthly,review_safety_stock_and_lead_time,demand_planning,2.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0915918022000,2026-11-01,,recurring,future_forecast,3,2.5642192363739014,,forecast_plus_review,forecast_with_planner_review,monthly,review_safety_stock_and_lead_time,demand_planning,3.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
