sku_id,total_months,months_with_demand,total_demand,positive_demand_sum,positive_demand_sum_sq,average_demand_interval,squared_coefficient_of_variation,demand_type,zero_month_share
1172062G00000,62,8,10.0,10.0,14.0,7.75,0.13714285714285712,Intermittent,0.8709677419354839
1172080JA0000,64,21,34.0,34.0,94.0,3.0476190476190474,0.742993079584775,Lumpy,0.671875
1173065J01000,59,2,2.0,2.0,2.0,29.5,0.0,Intermittent,0.9661016949152542
11740M79F00000,24,3,3.0,3.0,3.0,8.0,0.0,Intermittent,0.875
11749M79F01000,14,1,1.0,1.0,1.0,14.0,,Intermittent,0.9285714285714286
11751M79F00000,13,0,0.0,0.0,0.0,,,No demand observed,1.0
1191052R00000,56,7,7.0,7.0,7.0,8.0,0.0,Intermittent,0.875
1191052R10000,63,3,3.0,3.0,3.0,21.0,0.0,Intermittent,0.9523809523809523
1191061M01000,59,11,12.0,12.0,14.0,5.363636363636363,0.07638888888888884,Intermittent,0.8135593220338984
1191067R00000,51,10,11.0,11.0,13.0,5.1,0.08264462809917357,Intermittent,0.803921568627451
1191067R10000,57,9,11.0,11.0,15.0,6.333333333333333,0.1301652892561983,Intermittent,0.8421052631578947
1191069T10000,1,1,6.0,6.0,36.0,1.0,,Smooth,0.0
11910M55R00000,60,19,24.0,24.0,36.0,3.1578947368421053,0.19791666666666674,Intermittent,0.6833333333333333
11910M62S00000,57,17,20.0,20.0,26.0,3.3529411764705883,0.11156249999999991,Intermittent,0.7017543859649122
11910M68P11000,64,6,6.0,6.0,6.0,10.666666666666666,0.0,Intermittent,0.90625
11910M69P01000,63,21,32.0,32.0,58.0,3.0,0.1989257812500001,Intermittent,0.6666666666666667
11910M69R00000,19,1,1.0,1.0,1.0,19.0,,Intermittent,0.9473684210526316
11910M72R00000,28,2,2.0,2.0,2.0,14.0,0.0,Intermittent,0.9285714285714286
1193054P20000,8,1,1.0,1.0,1.0,8.0,,Intermittent,0.875
1194069T10000,1,1,6.0,6.0,36.0,1.0,,Smooth,0.0
11940M62S00000,44,5,5.0,5.0,5.0,8.8,0.0,Intermittent,0.8863636363636364
1194152R00000,53,2,4.0,4.0,10.0,26.5,0.5,Lumpy,0.9622641509433962
11941M68P00000,58,5,5.0,5.0,5.0,11.6,0.0,Intermittent,0.9137931034482758
11941M68P10000,14,1,1.0,1.0,1.0,14.0,,Intermittent,0.9285714285714286
11941M68P20000,62,6,6.0,6.0,6.0,10.333333333333334,0.0,Intermittent,0.9032258064516129
1222278K00000,63,10,11.0,11.0,13.0,6.3,0.08264462809917357,Intermittent,0.8412698412698413
1277173G00000,59,4,5.0,5.0,7.0,14.75,0.16,Intermittent,0.9322033898305084
1282158J10000,15,1,1.0,1.0,1.0,15.0,,Intermittent,0.9333333333333333
