sku_id,actual_total,forecast_total,absolute_error,bias,mean_rolling_3m_wmape_percent,actual_positive_months,forecast_positive_months,model_key,model,selection_score
7174265J010PG,80.0,63.09957694363164,94.10906870211303,-16.900423056368364,116.17693556761654,58,72,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,116.17693556761654
71742M53M100CB,36.0,4.647332961697663,40.14620542052601,-31.352667038302336,102.41442867507604,11,54,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,102.41442867507604
71742M79G000PG,30.0,63.663065301424716,64.58323364163087,33.663065301424716,123.84665493133518,30,88,xgb_d2_none_log,XGB depth2 unweighted log-size,123.84665493133518
71743M53M100CB,86.0,6.0804966809859184,91.35526074805837,-79.91950331901408,102.71781544422066,16,54,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,102.71781544422066
71744M53M00000,18.0,21.837273871852382,30.907200316562378,3.8372738718523807,107.29161333469068,18,36,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,107.29161333469068
71750M55T30C48,327.0,106.34100320109052,269.50547850584434,-220.65899679890947,83.28963720315382,122,143,xgb_d2_sqrt_log,XGB depth2 sqrt-weight log-size,83.28963720315382
7175160B00000,60.0,3.954894628261144,63.87759303662639,-56.045105371738856,100.03931757062674,6,36,xgb_d2_none_log,XGB depth2 unweighted log-size,100.03931757062674
7175163J105PK,22.0,24.43498265883181,39.38632451587819,2.434982658831812,112.99549076079212,19,54,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,112.99549076079212
7175173K105PK,225.0,137.7011600893181,221.14870849811598,-87.29883991068189,98.08416420959762,87,162,xgb_d2_full_log,XGB depth2 full-weight log-size,98.08416420959762
71751M50S005PK,83.0,33.41451691373276,91.21393644013239,-49.58548308626724,105.90056580980476,53,72,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,105.90056580980476
71751M67P005PK,43.0,26.19486850789031,54.50091014466264,-16.80513149210969,107.27162685205518,43,36,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,107.27162685205518
71751M68K005PK,125.0,158.22889583127196,141.9170876503537,33.22889583127195,111.05421392438826,74,162,xgb_d2_full_log,XGB depth2 full-weight log-size,111.05421392438826
71751M75T105PK,49.0,0.33449435234069824,48.6655056476593,-48.6655056476593,98.14169804255168,17,1,xgb_d3_sqrt_log,XGB depth3 sqrt-weight log-size,98.14169804255168
