sku_id,candidate_source,candidate_model,mean_rolling_3m_wmape_percent,fair08_source,fair08_model,fair08_mean_rolling_3m_wmape_percent,delta_09_champion_minus_08
3773773R00Z2S,09_croston_ml_hybrid,Croston HistGB gated probability size,97.2974336967681,06_intermittent_tournament,SBA Croston,109.43444908748826,-12.137015390720165
38315M68K00000,09_croston_ml_hybrid,Croston XGBoost depth2 gated probability size,102.67734385098673,06_intermittent_tournament,Recent Mean 6m,113.0892255892256,-10.411881738238876
38330M68K01000,08_fair_champion,Hurdle Random Forest threshold 0.35,97.1858926386012,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,97.1858926386012,0.0
3834062R30000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
38340M51K42000,08_fair_champion,Hurdle Random Forest Regression,87.29632052191957,07_clean_regression,Hurdle Random Forest Regression,87.29632052191957,0.0
3834651K42000,09_croston_ml_hybrid,Croston XGBoost depth3 gated probability size,93.96837304035824,06_intermittent_tournament,SBA Croston,114.88135533904392,-20.912982298685677
3845061J12000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
3845062R00000,09_croston_ml_hybrid,Croston XGBoost depth2 gated probability size,103.56934038821116,06_intermittent_tournament,SBA Croston,114.0488013399045,-10.47946095169334
3845065J10000,09_croston_ml_hybrid,Croston XGBoost depth3 gated probability size,102.95666227044984,07_clean_regression,Direct XGBoost Tweedie,113.4732631099263,-10.516600839476453
3845071L10000,08_fair_champion,Direct Extra Trees log1p,82.71856835365502,07_clean_regression,Direct Extra Trees log1p,82.71856835365502,0.0
38450M79M00000,09_croston_ml_hybrid,Croston XGBoost depth2 gated probability size,97.82676776826737,06_intermittent_tournament,SBA Croston,101.48344860872491,-3.6566808404575397
38450M80T10000,08_fair_champion,Direct Hist Gradient Squared,79.42451614403255,07_clean_regression,Direct Hist Gradient Squared,79.42451614403255,0.0
38452M56R30000,08_fair_champion,SBA Croston,103.45830996889136,06_intermittent_tournament,SBA Croston,103.45830996889136,0.0
38452M65L00000,09_croston_ml_hybrid,Croston XGBoost depth2 expected value,77.3455371090344,07_clean_regression,Direct Extra Trees log1p,84.0774164033912,-6.731879294356801
38452M68K00000,09_croston_ml_hybrid,Croston XGBoost depth3 gated probability size,103.85984959809676,06_intermittent_tournament,Recent Mean 6m,122.26017943409248,-18.40032983599572
38480M68P01000,08_fair_champion,Hurdle Random Forest threshold 0.35,97.05289300892812,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,97.05289300892812,0.0
38500M55T01000,08_fair_champion,Boosted SBA Hybrid,93.2088076955146,06_intermittent_tournament,Boosted SBA Hybrid,93.2088076955146,0.0
3882151K02000,09_croston_ml_hybrid,Croston XGBoost depth2 gated probability size,94.52913331458107,06_intermittent_tournament,SBA Croston,113.32714276880613,-18.798009454225053
3882165J00000,09_croston_ml_hybrid,Croston XGBoost depth2 gated probability size,103.11974787965734,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,108.14623130910368,-5.026483429446344
38821M67P00000,08_fair_champion,SBA Croston,99.02839862901313,06_intermittent_tournament,SBA Croston,99.02839862901313,0.0
3910268L01000,09_croston_ml_hybrid,Croston HistGB gated probability size,100.2501910264754,08_tuned_capped_full_coverage,Hurdle XGBoost threshold 0.30,113.1374521954888,-12.8872611690134
