sku_id,suzuki_model,mapping_method
71723M79G10000,,unmapped
7173157L00000,,unmapped
7173163T00000,,unmapped
7173172SA0000,,unmapped
7173363T00000,,unmapped
71733M74T00000,,unmapped
71740M60MA0C48,,unmapped
71740M76T00KDJ,,unmapped
71740M84P00ES5,,unmapped
7174161M005PK,,unmapped
71741M76M005PK,,unmapped
71742M53M000PG,,unmapped
71742M76MA00PG,,unmapped
71742M81R000PG,,unmapped
7174479S000PG,,unmapped
7174579S20000,,unmapped
71746M79M005PK,,unmapped
7175060P205PK,,unmapped
71750M84P00N1V,,unmapped
71750M84P10C48,,unmapped
7175152R005PK,,unmapped
7175157M005PK,,unmapped
7175162R105PK,,unmapped
7175163J005PK,,unmapped
7175168R005PK,,unmapped
7175170L00ZSC,,unmapped
7175171L105PK,,unmapped
7175173R005PK,,unmapped
7175175K005PK,,unmapped
71751M56R005PK,,unmapped
71751M75L005PK,,unmapped
71751M75L105PK,,unmapped
7175257L105PK,,unmapped
7176054L105PK,,unmapped
7176061P00AVF,,unmapped
71760M84P10C48,,unmapped
7176170L00ZSC,,unmapped
7176171L005PK,,unmapped
7176172S205PK,,unmapped
71761M50S005PK,,unmapped
71761M54T005PK,,unmapped
71761M74L005PK,,unmapped
71761M76MA0ZHJ,,unmapped
71761M79M005PK,,unmapped
71761M79M105PK,,unmapped
71762M53T00000,,unmapped
71762M83P000CB,,unmapped
7177186R100BK,,unmapped
7177257L00000,,unmapped
7177273S00000,,unmapped
71772M68K00000,,unmapped
7178062R105PK,,unmapped
7178177KA05PK,,unmapped
7179152R00000,,unmapped
71791M55T00000,,unmapped
7180054830T2G,,unmapped
7181154GA0799,,unmapped
7181154P132KW,,unmapped
7181155GA0799,,unmapped
7181160E005PK,,unmapped
7181162R10799,,unmapped
7181172SA0799,,unmapped
7181265J00000,,unmapped
71812M60M00000,,unmapped
7182163T005PK,,unmapped
7182260M00000,,unmapped
7182261J00799,,unmapped
7182261M005PK,,unmapped
7182262R00000,,unmapped
71822M62S005PK,,unmapped
7182357L00000,,unmapped
7182460M00000,,unmapped
7183162R005PK,,unmapped
7183262R005PK,,unmapped
7183268R00000,,unmapped
7184057L01000,,unmapped
7185161J01000,,unmapped
71851M74L00000,,unmapped
7186080J005PK,,unmapped
7187172SA0Z2S,,unmapped
7187254P00PSD,,unmapped
7188080J005PK,,unmapped
7189261M00000,,unmapped
7203673R20000,,unmapped
7211154GB0000,,unmapped
7211165G11D2W,,unmapped
7211176J00000,,unmapped
7211176J105PK,,unmapped
72111M70F00A0CB,,unmapped
7211254GB0ZJ3,,unmapped
7211257M10000,,unmapped
7211262R00000,,unmapped
7211378R00000,,unmapped
72124M8440009E,,unmapped
72134M8440009E,,unmapped
72211M75L005PK,,unmapped
72211M79M005PK,,unmapped
7222173R005PK,,unmapped
72221M75L005PK,,unmapped
72231M56R005PK,,unmapped
7224159R005PK,,unmapped
7231078R00000,JIMNY,description_keyword_exact
7231154GA1000,,unmapped
7231252R00000,,unmapped
7231284M00000,,unmapped
7232172SA0000,,unmapped
7232180J00000,,unmapped
72321M66L00000,,unmapped
7232279P00000,,unmapped
7232280G01000,,unmapped
7232284000000,,unmapped
72322M79G00000,,unmapped
7232372SA0000,,unmapped
72323M54T00000,,unmapped
7232453R00000,,unmapped
7232457L00000,,unmapped
72324M54T00000,,unmapped
72330M53T105PK,,unmapped
72332M76T005PK,,unmapped
7233463T005PK,,unmapped
7233478R00000,,unmapped
72334M68K005PK,,unmapped
7234162R005PK,,unmapped
72341M53M00000,,unmapped
72341M68K005PK,,unmapped
7235153R00000,,unmapped
7235171L00000,,unmapped
7235173R00000,,unmapped
72352M56R00000,,unmapped
72352M76T00000,,unmapped
7236179P10000,,unmapped
72361M68P01000,,unmapped
